,Lane #2,Lane #2,Lane #2,Lane #2,Lane #2,Lane #2,Lane #3,Lane #3,Lane #3,Lane #3,Lane #3,Lane #3,Lane #4,Lane #4,Lane #4,Lane #4,Lane #4,Lane #4,Lane #5,Lane #5,Lane #5,Lane #5,Lane #5,Lane #5,Lane #6,Lane #6,Lane #6,Lane #6,Lane #6,Lane #6,Lane #7,Lane #7,Lane #7,Lane #7,Lane #7,Lane #7,Lane #8,Lane #8,Lane #8,Lane #8,Lane #8,Lane #8,Lane #9,Lane #9,Lane #9,Lane #9,Lane #9,Lane #9
,HENDERSON,HENDERSON,HENDERSON,HENDERSON,HENDERSON,HENDERSON,SEVILLA,SEVILLA,SEVILLA,SEVILLA,SEVILLA,SEVILLA,BRYANT,BRYANT,BRYANT,BRYANT,BRYANT,BRYANT,LANSIQUOT,LANSIQUOT,LANSIQUOT,LANSIQUOT,LANSIQUOT,LANSIQUOT,SMITH,SMITH,SMITH,SMITH,SMITH,SMITH,NEITA,NEITA,NEITA,NEITA,NEITA,NEITA,AKINOSUN,AKINOSUN,AKINOSUN,AKINOSUN,AKINOSUN,AKINOSUN,SEDNEY,SEDNEY,SEDNEY,SEDNEY,SEDNEY,SEDNEY
Time,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist,X,Y,Speed,Accel,Distance,PathDist
00:01.396,-95.194,9.07,5.672,4.005,4.709,4.938,-95.753,7.85,5.172,3.695,4.702,4.379,-95.17,6.63,5.830,4.342,4.616,4.962,-95.554,5.41,5.408,3.932,4.367,4.578,-95.4,4.19,5.552,4.292,4.512,4.732,-95.26,2.97,5.706,4.072,4.548,4.872,-95.47,1.75,5.682,4.014,4.307,4.662,-96.217,0.53,5.214,3.810,4.118,3.914
00:01.496,-94.443,9.07,5.796,3.919,6.096,5.689,-95.166,7.85,5.310,3.561,4.702,4.966,-94.429,6.63,5.959,4.133,5.994,5.703,-94.885,5.41,5.541,3.814,5.577,5.247,-94.759,4.19,5.684,4.127,5.703,5.373,-94.609,2.97,5.827,3.881,5.831,5.523,-94.714,1.75,5.809,3.838,5.651,5.418,-95.519,0.53,5.353,3.653,4.118,4.609
00:01.596,-93.686,9.07,5.909,3.839,6.096,6.447,-94.405,7.85,5.436,3.438,4.702,5.727,-93.704,6.63,6.077,3.941,5.994,6.429,-94.213,5.41,5.662,3.706,5.577,5.919,-94.069,4.19,5.806,3.976,5.703,6.064,-93.903,2.97,5.938,3.706,5.831,6.230,-93.927,1.75,5.888,3.484,5.651,6.206,-94.733,0.53,5.486,3.535,4.118,5.399
00:01.596,-93.686,9.07,6.006,3.673,6.096,6.447,-94.405,7.85,5.577,3.377,4.702,5.727,-93.704,6.63,6.199,3.836,5.994,6.429,-94.213,5.41,5.779,3.601,5.577,5.919,-94.069,4.19,5.932,3.862,5.703,6.064,-93.903,2.97,6.054,3.596,5.831,6.230,-93.927,1.75,5.981,3.354,5.651,6.206,-94.733,0.53,5.609,3.415,4.118,5.399
00:01.696,-92.912,9.07,6.341,3.661,7.627,7.221,-93.704,7.85,5.936,3.453,6.054,6.429,-92.9,6.63,6.563,3.889,7.550,7.233,-93.476,5.41,6.122,3.645,7.015,6.657,-93.344,4.19,6.291,3.907,7.146,6.789,-93.111,2.97,6.407,3.634,7.371,7.022,-93.095,1.75,6.309,3.362,7.301,7.038,-93.947,0.53,5.952,3.437,5.606,6.182
00:01.796,-92.123,9.07,6.597,3.171,7.627,8.011,-92.992,7.85,6.210,3.019,6.054,7.141,-92.119,6.63,6.832,3.230,7.550,8.015,-92.746,5.41,6.410,3.339,7.015,7.387,-92.604,4.19,6.544,3.210,7.146,7.529,-92.359,2.97,6.685,3.240,7.371,7.774,-92.299,1.75,6.592,3.022,7.301,7.834,-93.216,0.53,6.270,3.307,5.606,6.917
00:01.896,-91.34,9.07,6.835,2.680,9.199,8.794,-92.292,7.85,6.484,2.586,7.468,7.841,-91.293,6.63,7.068,2.571,9.156,8.841,-91.934,5.41,6.684,2.921,8.556,8.200,-91.765,4.19,6.749,2.532,8.727,8.369,-91.526,2.97,6.939,2.920,8.955,8.608,-91.499,1.75,6.845,2.777,8.896,8.635,-92.434,0.53,6.576,3.179,7.123,7.693
00:01.996,-90.563,9.07,7.006,2.316,9.199,9.571,-91.529,7.85,6.723,2.360,7.468,8.605,-90.445,6.63,7.271,2.224,9.156,9.689,-91.15,5.41,6.907,2.656,8.556,8.984,-90.92,4.19,6.939,2.300,8.727,9.214,-90.701,2.97,7.162,2.604,8.955,9.433,-90.728,1.75,7.095,2.640,8.896,9.406,-91.634,0.53,6.842,2.916,7.123,8.500
00:02.096,-89.751,9.07,7.178,1.953,9.199,10.384,-90.775,7.85,6.962,2.135,8.932,9.359,-89.566,6.63,7.474,1.877,9.156,10.569,-90.315,5.41,7.130,2.390,8.556,9.819,-90.098,4.19,7.130,2.068,8.727,10.037,-89.881,2.97,7.385,2.289,8.955,10.254,-89.897,1.75,7.345,2.502,8.896,10.238,-90.847,0.53,7.107,2.653,8.711,9.287
00:02.196,-88.87,9.07,7.351,1.739,10.794,11.265,-89.979,7.85,7.175,1.911,8.932,10.156,-88.721,6.63,7.662,1.612,10.896,11.414,-89.517,5.41,7.321,2.126,10.188,10.618,-89.266,4.19,7.321,1.946,10.405,10.869,-89.011,2.97,7.573,1.954,10.606,11.124,-88.994,1.75,7.559,2.231,10.504,11.141,-90.025,0.53,7.318,2.237,8.711,10.110
